FieldID,Description
f.28706.0.0,Length of time suffering from skin issues
f.28707.0.0,Extent affected by skin issues
f.28708.0.0,Currently suffering from red/purple sores or blisters on feet
f.28709.0.0,Length of time suffering from red/purple sores or blisters on feet
f.28710.0.0,Extent affected by red/purple sores or blisters on feet
f.28711.0.0,Currently suffering from a new allergy or intolerance
f.28712.0.0,Length of time suffering from a new allergy or intolerance
f.28713.0.0,Extent affected by a new allergy or intolerance
f.28714.0.0,Currently suffering from a fever
f.28715.0.0,Length of time suffering from a fever
f.28716.0.0,Extent affected by a fever
f.28717.0.0,Currently suffering from chills (feeling too cold)
f.28718.0.0,Length of time suffering from chills
f.28719.0.0,Extent affected by chills
f.28720.0.0,Currently suffering from problems thinking
f.28721.0.0,Length of time suffering from problems thinking
f.28722.0.0,Extent affected by problems thinking
f.28723.0.0,Currently suffering from problems communicating
f.28724.0.0,Length of time suffering from problems communicating
f.28725.0.0,Extent affected by problems communicating
f.28726.0.0,"Currently suffering from problems relating to mood, anxiety and emotions"
f.28727.0.0,"Length of time suffering from problems relating to mood, anxiety and emotions"
f.28728.0.0,"Extent affected by problems relating to mood, anxiety and emotions"
f.28729.0.0,Currently suffering from weakness of muscles or difficulty moving arms and legs
f.28730.0.0,Length of time suffering from weakness of muscles or difficulty moving arms and legs
f.28731.0.0,Extent affected by weakness of muscles or difficulty moving arms and legs
f.28732.0.0,Currently suffering from numbness or tingling somewhere in the body
f.28733.0.0,Length of time suffering from numbness or tingling somewhere in the body
f.28734.0.0,Extent affected by numbness or tingling somewhere in the body
f.28735.0.0,"Feeling anxious, nervous or on edge over the last 2 weeks"
f.28736.0.0,Not being able to stop or control worrying over the last 2 weeks
f.28737.0.0,Little interest or pleasure in doing things over the last 2 weeks
f.28738.0.0,"Feeling down, depressed or hopeless over the last 2 weeks"
f.28739.0.0,Difficulty with standing for long periods
f.28740.0.0,Difficulty with taking care of household responsibilities
f.28741.0.0,Difficulty learning a new task
f.28742.0.0,Difficulty with joining in community activities
f.28743.0.0,Difficulty with being emotionally affected by health problems
f.28744.0.0,Difficulty with concentrating on doing something for ten minutes
f.28745.0.0,Difficulty with walking a long distance
f.28746.0.0,Difficulty with washing whole body
f.28747.0.0,Difficulty with getting dressed
f.28748.0.0,Difficulty with dealing with people you do not know
f.28749.0.0,Difficulty with maintaining a friendship
f.28750.0.0,Difficulty with dealing with noisy environments
f.28751.0.0,Difficulty with doing your day-to-day work
f.28752.0.0,Difficulty with looking after children/grandchildren
f.28753.0.0,Additional help needed because of health issues identified
f.28754.0.0,When Health and Well-being Questionnaire started
f.28755.0.0,When Health and Well-being Questionnaire completed
f.28756.0.0,"Invitation to complete online Health and Well-being Questionnaire, date sent"
f.29000.0.0,Mental health conditions ever diagnosed by a professional
f.29001.0.0,Mental health conditions experienced by first degree blood relatives
f.29002.0.0,Recent lack of interest or pleasure in doing things
f.29003.0.0,Recent feelings of depression
f.29004.0.0,"Trouble falling or staying asleep, or sleeping too much"
f.29005.0.0,Recent feelings of tiredness or low energy
f.29006.0.0,Recent poor appetite or overeating
f.29007.0.0,Recent feelings of inadequacy
f.29008.0.0,Recent trouble concentrating on things
f.29009.0.0,Recent changes in speed/amount of moving or speaking
f.29010.0.0,Recent thoughts of suicide or self-harm
f.29011.0.0,Ever had prolonged feelings of sadness or depression
f.29012.0.0,Ever had prolonged loss of interest in normal activities
f.29013.0.0,Depression possibly related to stressful or traumatic event
f.29014.0.0,Fraction of day affected during worst episode of depression
f.29015.0.0,Frequency of depressed days during worst episode of depression
f.29016.0.0,Brightening of mood in response to positive events during worst episode of depression
f.29017.0.0,Time of day that mood was worse during worst episode of depression
f.29018.0.0,Feelings of tiredness during worst episode of depression
f.29019.0.0,Feelings of heaviness in limbs during worst episode of depression
f.29020.0.0,Change in appetite during worst episode of depression
f.29021.0.0,Weight change during worst episode of depression
f.29022.0.0,Sleep changed during sadness/depression or loss of interest
f.29023.0.0,Trouble falling asleep
f.29024.0.0,Waking too early
f.29025.0.0,Sleeping too much
f.29026.0.0,Difficulty concentrating during worst depression
f.29027.0.0,Feelings of worthlessness during worst period of depression
f.29028.0.0,Feelings of guilt during worst period of depression
f.29029.0.0,Thoughts of death during worst depression
f.29030.0.0,Duration of worst depression
f.29031.0.0,Impact on normal roles during worst period of depression
f.29032.0.0,Difficulty coping with rejection or negative responses
f.29033.0.0,Lifetime number of depressed periods
f.29034.0.0,Age at first episode of depression
f.29035.0.0,Depression possibly related to childbirth
f.29036.0.0,Age at last episode of depression
f.29037.0.0,Professional informed about depression
f.29038.0.0,Substances taken for depression
f.29039.0.0,Use of specific medications
f.29040.0.0,Citalopram has helped feel better
f.29041.0.0,Fluoxetine has helped feel better
f.29042.0.0,Sertraline has helped feel better
f.29043.0.0,Paroxetine has helped feel better
f.29044.0.0,Amitriptyline has helped feel better
f.29045.0.0,Dosulepin has helped feel better
f.29046.0.0,Other antidepressants have helped feel better
f.29047.0.0,Activities undertaken to treat depression
f.29048.0.0,Activities have helped
f.29049.0.0,Ever had period of mania / excitability
f.29050.0.0,Ever had period extreme irritability
f.29051.0.0,Manifestations of mania or irritability
f.29052.0.0,Longest period of mania or irritability
f.29053.0.0,Age at first episode of mania or irritability
f.29054.0.0,Age at last episode of mania or irritability
f.29055.0.0,Lifetime number of manic or irritable periods
f.29056.0.0,Problems caused by manic or irritable periods - treatment was required
f.29057.0.0,Problems caused by manic or irritable periods - aspects of life were affected
f.29058.0.0,Recent feelings or nervousness or anxiety
f.29059.0.0,Recent inability to stop or control worrying
f.29060.0.0,Recent worrying too much about different things
f.29061.0.0,Recent trouble relaxing
f.29062.0.0,Recent restlessness
f.29063.0.0,Recent easy annoyance or irritability
f.29064.0.0,Recent feelings of foreboding
f.29065.0.0,Symptoms of panic attack
f.29066.0.0,Lifetime number of panic attacks
f.29067.0.0,Worry about further panic attacks
f.29068.0.0,Worry about other things happening because of panic attacks
f.29069.0.0,Avoidance of situations where panic attacks may occur
f.29070.0.0,Duration of worry about panic attacks
f.29071.0.0,Lifetime number of periods of worry lasting one month or more
f.29072.0.0,Age of first panic attack
f.29073.0.0,Age of last panic attack
f.29074.0.0,"Panic attack caused by medical condition, medication, drugs or alcohol"
f.29075.0.0,Panic attack caused by strong fears
f.29076.0.0,Felt loved as a child
f.29077.0.0,Physically abused by family as a child
f.29078.0.0,Felt hated by family member as a child
f.29079.0.0,Sexually molested as a child
f.29080.0.0,Someone to take to doctor when needed as a child
f.29081.0.0,Stopped from seeing friends or family by partner or ex-partner as an adult
f.29082.0.0,Belittlement by partner or ex-partner as an adult
f.29083.0.0,Physical violence by partner or ex-partner as an adult
f.29084.0.0,Sexual interference by partner or ex-partner without consent as an adult
f.29085.0.0,Sexual intercourse by partner or ex-partner without consent as an adult
f.29086.0.0,Experienced a violent or sexual assault
f.29087.0.0,Experienced a life-threatening injury or illness
f.29088.0.0,Experienced a marital separation/divorce
f.29089.0.0,Experienced the death of a spouse or partner
f.29090.0.0,Experienced the death of a close friend or family member due to suicide
f.29091.0.0,Frequency of drinking alcohol
f.29092.0.0,Amount of alcohol drunk on a typical drinking day
f.29093.0.0,Frequency of consuming six or more units of alcohol
f.29094.0.0,Frequency of inability to cease drinking in last year
f.29095.0.0,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year
f.29096.0.0,Frequency of needing morning drink of alcohol after heavy drinking session in last year
f.29097.0.0,Frequency of feeling guilt or remorse after drinking alcohol in last year
f.29098.0.0,Frequency of memory loss due to drinking alcohol in last year
f.29099.0.0,Ever been injured or injured someone else through drinking alcohol
f.29100.0.0,"Ever had known person concerned about, or recommend reduction of, alcohol consumption"
f.29101.0.0,Number of times known person has commented on drinking
f.29102.0.0,Age when known person first commented about drinking habits
f.29103.0.0,Age when known person last commented about drinking habits
f.29104.0.0,Ever used cannabis
f.29105.0.0,Age when first took cannabis
f.29106.0.0,Age when last took cannabis
f.29107.0.0,Frequency of most regular cannabis use
f.29108.0.0,Ever thought that life not worth living
f.29109.0.0,Ever contemplated self-harm
f.29110.0.0,Contemplated self-harm in past year
f.29111.0.0,Ever self-harmed
f.29112.0.0,Age when first self harmed
f.29113.0.0,Age when last self harmed
f.29114.0.0,Self-harmed in past year
f.29115.0.0,Methods of self-harm used
f.29116.0.0,Ever attempted suicide
f.29117.0.0,Attempted suicide in past year
f.29118.0.0,Age when first attempted suicide
f.29119.0.0,Age when last attempted suicide
f.29120.0.0,Period in life when was underweight
f.29121.0.0,Reason for being underweight
f.29122.0.0,Did you feel fat?
f.29123.0.0,Afraid of gaining weight or becoming fat
f.29124.0.0,Thinking or feeling body larger than it is
f.29125.0.0,Lowest weight during period when underweight
f.29126.0.0,Age when first at this low weight
f.29127.0.0,Age when last at this low weight
f.29128.0.0,Low weight had/has negative consequences for health
f.29129.0.0,Dependency of self-esteem on body shape or weight when at this low weight
f.29130.0.0,Methods of controlling body shape or weight when at this low weight
f.29131.0.0,Frequency of using methods of controlling body shape or weight when at this low weight
f.29132.0.0,Ever had recurrent episodes of excessive overeating or binge eating
f.29133.0.0,Longest amount of time that overate or binge ate at least once a week
f.29134.0.0,Experienced episodes of overeating/binge eating during time(s) of low weight
f.29135.0.0,Frequency of feeling had no control over eating during episodes of overeating/binge eating
f.29136.0.0,Actions and feelings during periods of overeating/binge eating
f.29137.0.0,Distress about episodes of overeating/binge eating
f.29138.0.0,Age when first experienced overeating/binge eating regularly
f.29139.0.0,Age when last experienced overeating/binge eating regularly
f.29140.0.0,Methods of controlling body shape or weight when overeating/binge eating
f.29141.0.0,Frequency of using methods of controlling body shape or weight when overeating/binge eating
f.29142.0.0,Longest amount of time that engaged in these behaviours when overeating/binge eating
f.29143.0.0,Dependency of self-esteem on body shape or weight when overeating/binge eating
f.29144.0.0,Control of body weight outside of periods of low weight or regular overeating/binge eating
f.29145.0.0,Longest amount of time that engaged in these behaviours outside of periods of low weight or overeating/binge eating
f.29146.0.0,Dependency of self-esteem on body shape or weight
f.29147.0.0,Age when first engaged in these behaviours for at least three months
f.29148.0.0,Age when last engaged in these behaviours for at least three months
f.29149.0.0,Dependency of self-esteem on body shape or weight currently
f.29150.0.0,Mobility problems today
f.29151.0.0,Self-care problems today
f.29152.0.0,Problems doing usual activities
f.29153.0.0,Pain/discomfort today
f.29154.0.0,Anxiety/depression today
f.29155.0.0,Scale to indicate how health is today
f.29156.0.0,Number of times have had COVID-19
f.29157.0.0,Date first had COVID-19
f.29158.0.0,Method of diagnosis when first had COVID-19
f.29159.0.0,Date most recently had COVID-19
f.29160.0.0,Method of diagnosis when had COVID-19 most recently
f.29161.0.0,Recovery from COVID-19
f.29162.0.0,Number of people living in household
f.29163.0.0,Frequency of seeing friends and family in person
f.29164.0.0,Frequency of seeing friends and family on a video call
f.29165.0.0,Frequency of speaking to friends and family on a voice call
f.29166.0.0,Frequency of confiding in someone close
f.29167.0.0,Sports and social activities attended in person at least once a week
f.29168.0.0,Sports and social activities attended virtually at least once a week
f.29169.0.0,Current situation
f.29170.0.0,When retired
f.29171.0.0,Frequency of feeling 'in tune' with people
f.29172.0.0,Freuency of feeling that lacks companionship
f.29173.0.0,Frequency of feeling left out
f.29174.0.0,Frequency of feeling isolated from others
f.29175.0.0,Tendency to bounce back quickly after hard times
f.29176.0.0,Ability to make it through stressful events
f.29177.0.0,Quick recovery from stressful events
f.29178.0.0,Hard to snap back when something bad happens
f.29179.0.0,Comes through difficult times with little trouble
f.29180.0.0,Tendency to take a long time to get over setbacks
f.29181.0.0,General happiness
f.29182.0.0,Belief that own life is meaningful
f.29183.0.0,"Invitation to complete online mental well-being questionnaire, date sent"
f.29184.0.0,When online Mental health questionnaire started
f.29185.0.0,When online Depression questionnaire started
f.29186.0.0,When online Mood changes questionnaire started
f.29187.0.0,When online Anxiety and panic questionnaire started
f.29188.0.0,When online Adverse life events questionnaire started
f.29189.0.0,When online Alcohol use questionnaire started
f.29190.0.0,When online Cannabis use questionnaire started
f.29191.0.0,When online Harm behaviours questionnaire started
f.29192.0.0,When online Eating patterns questionnaire started
f.29193.0.0,When online General health questionnaire started
f.29194.0.0,When online COVID-19 questionnaire started
f.29195.0.0,When online Social situation questionnaire started
f.29196.0.0,When online General well-being questionnaire started
f.29197.0.0,When online Mental health questionnaire completed
f.29198.0.0,When online Depression questionnaire completed
f.29199.0.0,When online Mood changes questionnaire completed
f.29200.0.0,When online Anxiety and panic questionnaire completed
f.29201.0.0,When online Adverse life events questionnaire completed
f.29202.0.0,When online Alcohol use questionnaire completed
f.29203.0.0,When online Cannabis use questionnaire completed
f.29204.0.0,When online Harm behaviours questionnaire completed
f.29205.0.0,When online Eating patterns questionnaire completed
f.29206.0.0,When online General health questionnaire completed
f.29207.0.0,When online COVID-19 questionnaire completed
f.29208.0.0,When online Social situation questionnaire completed
f.29209.0.0,When online General well-being questionnaire completed
f.29250.0.0,Aids used to assist with answering questionnaire
f.30000.0.0,White blood cell (leukocyte) count
f.30005.0.0,Carotid Artery Ultrasound (MAT format)
f.30006.0.0,"Invitation to complete online digestive health questionnaire, date sent"
f.30007.0.0,"Invitation to complete online experience of pain questionnaire, date sent"
f.30008.0.0,"Invitation to complete online food preferences questionnaire, date sent"
f.30009.0.0,"Invitation to complete online mental health questionnaire, date sent"
f.30010.0.0,Red blood cell (erythrocyte) count
f.30020.0.0,Haemoglobin concentration
f.30025.0.0,Urine collection (imaging) sign-off timestamp
f.30027.0.0,Urine collection (imaging) duration
f.30030.0.0,Haematocrit percentage
f.30035.0.0,Rate of ramp phase load increase (exercise test)
f.30036.0.0,Heart rate data used to estimate VO2max
f.30037.0.0,Estimation model used to compute VO2max
f.30038.0.0,V02max per kg bodyweight estimated from the exercise test
f.30040.0.0,Mean corpuscular volume
f.30045.0.0,Plate barcode (interim dataset)
f.30046.0.0,Sample well position on plate (interim dataset)
f.30050.0.0,Mean corpuscular haemoglobin
f.30058.0.0,Incidental finding report made during Ultrasound scan process
f.30060.0.0,Mean corpuscular haemoglobin concentration
f.30070.0.0,Red blood cell (erythrocyte) distribution width
f.30080.0.0,Platelet count
f.30090.0.0,Platelet crit
f.30100.0.0,Mean platelet (thrombocyte) volume
f.30110.0.0,Platelet distribution width
f.30120.0.0,Lymphocyte count
f.30130.0.0,Monocyte count
f.30140.0.0,Neutrophill count
f.30150.0.0,Eosinophill count
f.30160.0.0,Basophill count
f.30170.0.0,Nucleated red blood cell count
f.30180.0.0,Lymphocyte percentage
f.30190.0.0,Monocyte percentage
f.30200.0.0,Neutrophill percentage
f.30210.0.0,Eosinophill percentage
f.30220.0.0,Basophill percentage
f.30230.0.0,Nucleated red blood cell percentage
f.30240.0.0,Reticulocyte percentage
f.30250.0.0,Reticulocyte count
f.30260.0.0,Mean reticulocyte volume
f.30270.0.0,Mean sphered cell volume
f.30280.0.0,Immature reticulocyte fraction
f.30290.0.0,High light scatter reticulocyte percentage
f.30300.0.0,High light scatter reticulocyte count
f.30314.0.0,Volume of EDTA1 plasma held by UKB
f.30324.0.0,Volume of EDTA1 red cells held by UKB
f.30334.0.0,Volume of EDTA1 buffy held by UKB
f.30344.0.0,Volume of EDTA2 plasma held by UKB
f.30354.0.0,Volume of EDTA2 buffy held by UKB
f.30364.0.0,Volume of EDTA2 red cells held by UKB
f.30374.0.0,Volume of Li-Hep plasma held by UKB
f.30384.0.0,Volume of serum held by UKB
f.30394.0.0,Total volume of urine samples held by UKB
f.30404.0.0,Volume of ACD held by UKB
f.30414.0.0,Volume of RNA held by UKB
f.30424.0.0,Total volume of saliva samples held by UKB
f.30425.0.0,Preferred time to get up
f.30426.0.0,Tiredness after waking
f.30427.0.0,First feelings of tiredness in the evening
f.30428.0.0,Time of the day when feel best
f.30429.0.0,"A ""morning-type"" or ""evening-type"""
f.30430.0.0,Worked a non-standard shift schedule in the last month - version 1
f.30431.0.0,Worked a non-standard shift schedule in the last month - version 2
f.30432.0.0,Waking up early and unable to get back to sleep while working non-standard shifts
f.30433.0.0,Sense of well-being while working non-standard shifts
f.30434.0.0,Dozing off at work during non-standard shifts
f.30435.0.0,Dozing off while driving after at least two days off work
f.30436.0.0,Time typically fell asleep on a workday in the past month
f.30437.0.0,Time typically woke up on a workday in the past month
f.30438.0.0,Time typically fell asleep on a non-working day in the past month - version 1
f.30439.0.0,Time typically fell asleep on a non-working day in the past month - version 2
f.30440.0.0,Time typically woke up on a non-working day in the past month - version 1
f.30441.0.0,Time typically woke up on a non-working day in the past month - version 2
f.30442.0.0,Time usually gone to bed during the past month
f.30443.0.0,Length of time to get to sleep during the past month
f.30444.0.0,Time usually got up in the morning during the past month
f.30445.0.0,How many hours of actual sleep each night during the past month
f.30446.0.0,Trouble sleeping in past month as cannot get to sleep within 30 minutes
f.30447.0.0,Trouble sleeping in past month as wake up in the middle of the night
f.30448.0.0,Trouble sleeping in past month as need to use the bathroom
f.30449.0.0,Trouble sleeping in past month as cannot breathe comfortably
f.30450.0.0,Trouble sleeping in past month as cough or snore loudly
f.30451.0.0,Trouble sleeping in past month as feel too cold
f.30452.0.0,Trouble sleeping in past month as feel too hot
f.30453.0.0,Trouble sleeping in past month as have bad dreams
f.30454.0.0,Trouble sleeping in past month as have pain
f.30455.0.0,Trouble sleeping in past month as find it noisy
f.30456.0.0,Trouble sleeping in past month as find the bed uncomfortable
f.30457.0.0,Trouble sleeping in past month as disturbed by light levels
f.30458.0.0,Trouble sleeping in past month as worried about something
f.30459.0.0,Trouble sleeping in past month as disturbed by children
f.30460.0.0,Trouble sleeping in past month as disturbed by bed partner
f.30461.0.0,Trouble sleeping in past month because of some other reason
f.30462.0.0,Number of times woke up in the night during the past month
f.30463.0.0,Frequency of taking over the counter sleep medication in the past month
f.30464.0.0,Frequency of taking prescription sleep medication in the past month
f.30465.0.0,Frequency of having trouble staying awake in the past month
f.30466.0.0,Problems with enthusiasm to get things done in the past month
f.30467.0.0,Overall quality of sleep in past month
f.30468.0.0,Number of nights a week had problems with sleep in 2019
f.30469.0.0,Likelihood of falling asleep when didn't intend to in 2019
f.30470.0.0,Sleep quality on a typical night in 2019
f.30471.0.0,Change to usual number of hours of sleep per night since 2019
f.30472.0.0,Hours of actual sleep per night in 2019
f.30473.0.0,Reasons for change to hours of sleep
f.30474.0.0,Time taken to fall asleep on a typical night in the past month
f.30475.0.0,Napped during the day in past month
f.30476.0.0,Duration of daytime naps
f.30477.0.0,Moderate exercise in past month
f.30478.0.0,Time of day that exercise
f.30479.0.0,"How long before bedtime use a device such as a computer, mobile phone, etc."
f.30480.0.0,Number of servings of caffeine in a day
f.30481.0.0,Time of day that have the last caffeinated drink
f.30482.0.0,How many hours spent outdoors in summer
f.30483.0.0,How many hours spent outdoors in winter
f.30484.0.0,"Frequency of feeling nervous, anxious or on edge in last 2 weeks"
f.30485.0.0,Frequency of not being able to stop or control worrying in last 2 weeks
f.30486.0.0,Frequency of having little interest or pleasure in doing things in last 2 weeks
f.30487.0.0,"Frequency of feeling down, depressed or hopeless in last 2 weeks"
f.30488.0.0,When online sleep behaviour questionnaire started
f.30489.0.0,When online sleep behaviour questionnaire completed
f.30490.0.0,When online work and sleep questionnaire started
f.30491.0.0,When online work and sleep questionnaire completed
f.30492.0.0,When online sleep quality questionnaire started
f.30493.0.0,When online sleep quality questionnaire completed
f.30494.0.0,When online insomnia questionnaire started
f.30500.0.0,Microalbumin in urine
f.30502.0.0,Microalbumin in urine acquisition time
f.30503.0.0,Microalbumin in urine device ID
f.30505.0.0,Microalbumin in urine result flag
f.30510.0.0,Creatinine (enzymatic) in urine
f.30512.0.0,Creatinine (enzymatic) in urine acquisition time
f.30513.0.0,Creatinine (enzymatic) in urine device ID
f.30515.0.0,Creatinine (enzymatic) in urine result flag
f.30520.0.0,Potassium in urine
f.30522.0.0,Potassium in urine acquisition time
f.30523.0.0,Potassium in urine device ID
f.30525.0.0,Potassium in urine result flag
f.30530.0.0,Sodium in urine
f.30532.0.0,Sodium in urine acquisition time
f.30533.0.0,Sodium in urine device ID
f.30535.0.0,Sodium in urine result flag
f.30536.0.0,Time awake for when wake up during the night in the past month
f.30537.0.0,Amount of time wake up early by in the past month
f.30538.0.0,Number of nights a week of problematic sleep in the past month
f.30539.0.0,Sleep quality in the past month
f.30540.0.0,The extent that poor sleep has affected mood or energy in the past month
f.30541.0.0,The extent that poor sleep has affected concentration or productivity in the past month
f.30542.0.0,The extent that poor sleep has troubled the respondent in the past month
f.30543.0.0,Length of time had a problem with sleep
f.30544.0.0,Tendency to sleep well just at the wrong times
f.30545.0.0,Tendency to sleep well but only if stay up late
f.30546.0.0,Tendency to be asleep soundly at normal waking time
f.30547.0.0,Tendency to sleep well but only if go to bed early
f.30548.0.0,"Tendency to wake early, bright and alert"
f.30549.0.0,Experiences of buckling of the knees in various situations
f.30550.0.0,Experiences of sagging of the jaw in various situations
f.30551.0.0,Experiences of abrupt dropping of head and/or shoulders in various situations
f.30552.0.0,Experiences of weakness in your arms in various situations
f.30553.0.0,Experiences of slurring of speech in various situations
f.30554.0.0,"Experiences of falling to the ground, unable to move in various situations"
f.30555.0.0,Frequency of sleep walking
f.30556.0.0,Frequency of grinding teeth
f.30557.0.0,Frequency of 'acting out dreams'
f.30558.0.0,Frequency of violent behaviour during sleep
f.30559.0.0,Frequency of nightmares
f.30560.0.0,Frequency of remembering dreams
f.30561.0.0,"Seizures, convulsions or fits during sleep"
f.30562.0.0,Occurrence of snoring
f.30563.0.0,Volume of snoring
f.30564.0.0,Frequency of snoring
f.30565.0.0,Does snoring affect other people
f.30566.0.0,Frequency of stopping breathing during sleep
f.30567.0.0,Feelings of tiredness after sleep
f.30568.0.0,Feelings of tiredness during waking time
f.30569.0.0,Falling asleep when driving
f.30570.0.0,Frequency of falling asleep when driving
f.30571.0.0,Frequency of motor accidents or near misses due to sleepiness in the last year
f.30572.0.0,Fatigue a problem over the last two weeks
f.30573.0.0,Fatigue causing problems with everyday functioning over the last two weeks
f.30574.0.0,Fatigue causing distress over the last two weeks
f.30575.0.0,Frequency of fatigue over the last two weeks
f.30576.0.0,Time of day fatigue was suffered over the last two weeks
f.30577.0.0,Severity of fatigue over the last two weeks
f.30578.0.0,Fatigue caused by poor sleep over the last two weeks
f.30579.0.0,Recurrent uncomfortable feelings in legs while sitting or lying down
f.30580.0.0,Recurrent need to move legs while sitting or lying down
f.30581.0.0,Feelings in legs when resting or moving
f.30582.0.0,Improvement of feeling in legs with movement
f.30583.0.0,Times of day that feelings in legs occur
f.30584.0.0,Does changing leg position help
f.30585.0.0,Are feelings in legs due to muscle cramps
f.30586.0.0,Beta-globin Ct value in TaqMan assay (interim dataset)
f.30587.0.0,U7 gene Ct value in TaqMan assay (interim dataset)
f.30588.0.0,DR1 gene Ct value in TaqMan assay (interim dataset)
f.30589.0.0,TaqMan assay screen result (interim dataset)
f.30600.0.0,Albumin
f.30610.0.0,Alkaline phosphatase
f.30620.0.0,Alanine aminotransferase
f.30630.0.0,Apolipoprotein A
f.30640.0.0,Apolipoprotein B
f.30650.0.0,Aspartate aminotransferase
f.30660.0.0,Direct bilirubin
f.30670.0.0,Urea
f.30680.0.0,Calcium
f.30690.0.0,Cholesterol
f.30700.0.0,Creatinine
f.30710.0.0,C-reactive protein
f.30720.0.0,Cystatin C
f.30730.0.0,Gamma glutamyltransferase
f.30740.0.0,Glucose
f.30750.0.0,Glycated haemoglobin (HbA1c)
f.30760.0.0,HDL cholesterol
f.30770.0.0,IGF-1
f.30780.0.0,LDL direct
f.30790.0.0,Lipoprotein A
f.30800.0.0,Oestradiol
f.30810.0.0,Phosphate
f.30820.0.0,Rheumatoid factor
f.30830.0.0,SHBG
f.30840.0.0,Total bilirubin
f.30850.0.0,Testosterone
f.30860.0.0,Total protein
f.30870.0.0,Triglycerides
f.30880.0.0,Urate
f.30890.0.0,Vitamin D
f.30900.0.0,Number of proteins measured
f.30903.0.0,UKB-PPP Consortium selected participant
f.31000.0.0,MNI Native Transform
f.31001.0.0,Native aparc a2009s dMRI
f.31002.0.0,Native aparc dMRI
f.31003.0.0,Native Glasser dMRI
f.31004.0.0,Native Schaefer7n200p dMRI
f.31005.0.0,Native Schaefer7n500p dMRI
f.31006.0.0,Native Tian Subcortex S1 3T dMRI
f.31007.0.0,Native Tian Subcortex S4 3T dMRI
f.31008.0.0,Native Schaefer7n1000p dMRI
f.31009.0.0,Native aparc a2009s SF
f.31010.0.0,Native aparc SF
f.31011.0.0,Native Glasser SF
f.31012.0.0,Native Schaefer7n100p to 1000p SF
f.31013.0.0,Native Tian Subcortex S1 to S4 3T
f.31014.0.0,fMRI timeseries aparc a2009s
f.31015.0.0,fMRI timeseries aparc
f.31016.0.0,fMRI timeseries Glasser
f.31017.0.0,fMRI timeseries global signal
f.31018.0.0,fMRI timeseries Schaefer7ns 100p to 1000p
f.31019.0.0,fMRI timeseries Tian Subcortex S1 to S4 3T
f.31020.0.0,Connectome aparc a2009s and Tian Subcortex S1 3T
f.31021.0.0,Connectome aparc and Tian Subcortex S1 3T
f.31022.0.0,Connectome Glasser and Tian Subcortex S1 3T
f.31023.0.0,Connectome Glasser and Tian Subcortex S4 3T
f.31024.0.0,Connectome Schaefer7n200p and Tian Subcortex S1 3T
f.31025.0.0,Connectome Schaefer7n500p and Tian Subcortex S4 3T
f.31026.0.0,Connectome Schaefer7n1000p and Tian Subcortex S4 3T
f.31027.0.0,Tractography endpoints coordinates
f.31028.0.0,Tractography quality metrics
f.31040.0.0,Plasma Amyloid beta-40
f.31041.0.0,Plasma Amyloid beta-42
f.31042.0.0,Plasma Glial fibrillary acidic protein
f.31043.0.0,Plasma NeuroFilament Light
f.31044.0.0,Plasma pTau-181
f.31045.0.0,Sample analysis batch
f.31046.0.0,Sample analysis plate
f.31047.0.0,Sample analysis well
f.31048.0.0,Comment code pTau sample state
f.31049.0.0,Comment code plex sample state
f.31060.0.0,Left ventricular ejection fraction
f.31061.0.0,Left ventricular end diastolic volume
f.31062.0.0,Left ventricular end systolic volume
f.31063.0.0,Left ventricular mass
f.31064.0.0,Left ventricular stroke volume
f.31065.0.0,Right atrial four-chamber max volume
f.31066.0.0,Right atrial four-chamber min volume
f.31067.0.0,Right ventricular end diastolic volume
f.31068.0.0,Right ventricular ejection fraction
f.31069.0.0,Right ventricular end systolic volume
f.31070.0.0,Right ventricular stroke volume
f.31071.0.0,Left atrium max volume - 2 channel
f.31072.0.0,Left atrium min volume - 2 channel
f.31073.0.0,Left atrium max volume - 4 channel
f.31074.0.0,Left atrium min volume - 4 channel
f.31075.0.0,Left atrial biplanar max volume
f.31076.0.0,Left atrial biplaner min volume
f.31077.0.0,Systole mean area of ascending aorta
f.31078.0.0,Systole mean area of proximal descending aorta
f.31079.0.0,Diastole mean area of ascending aorta
f.31080.0.0,Diastole mean area of proximal descending aorta
f.31081.0.0,Systole standard deviation of ascending aorta area
f.31082.0.0,Systole standard deviation of proximal descending aorta area
f.31083.0.0,Diastole standard deviation of ascending aorta mean
f.31084.0.0,Diastole standard deviation of proximal descending aorta mean
f.31085.0.0,Mean estimate of area of pericardial fat
f.31086.0.0,Predicted dice similarity coefficient
f.31087.0.0,Standard deviation of area of pericardial fat
f.31090.0.0,Abdominal descending aorta (horizontal diameter)
f.31091.0.0,Abdominal descending aorta (vertical diameter)
f.31092.0.0,Thoracic ascending aorta (horizontal diameter)
f.31093.0.0,Thoracic ascending aorta (vertical diameter)
f.31094.0.0,Thoracic descending aorta (horizontal diameter)
f.31095.0.0,Thoracic descending aorta (vertical diameter)
f.31096.0.0,Main pulmonary artery
f.31097.0.0,Coronal (LVOT) aortic annulus at end-diastole
f.31098.0.0,Coronal (LVOT) aortic annulus at end-systole
f.31099.0.0,Coronal (LVOT) sino-tubular junction at end-diastole
f.31100.0.0,Coronal (LVOT) sino-tubular junction at end-systole
